t,qw,qx,qy,qz
5.8760000,0.2339176,0.3183036,-0.0689437,-0.9160852
5.8960000,0.2586612,0.3236210,-0.0778466,-0.9068097
5.9120000,0.2783177,0.3275503,-0.0849716,-0.8989048
5.9320000,0.3027008,0.3320527,-0.0938673,-0.8884268
5.9480000,0.3220429,0.3353236,-0.1009675,-0.8795749
5.9680000,0.3460019,0.3389899,-0.1098152,-0.8679339
5.9840000,0.3649795,0.3415761,-0.1168735,-0.8581703
6.0040000,0.3884570,0.3443724,-0.1256482,-0.8454120
6.0280000,0.4162636,0.3470931,-0.1360715,-0.8292982
6.0480000,0.4391100,0.3488340,-0.1446493,-0.8152140
6.0640000,0.4571545,0.3499200,-0.1514183,-0.8035162
6.0840000,0.4793995,0.3509291,-0.1597434,-0.7883571
6.1080000,0.5056189,0.3516050,-0.1695278,-0.7694048
6.1240000,0.5228042,0.3517194,-0.1759177,-0.7563215
6.1440000,0.5439445,0.3514729,-0.1837447,-0.7394790
6.1640000,0.5646915,0.3507812,-0.1913840,-0.7221137
6.1880000,0.5890538,0.3493534,-0.2002870,-0.7006090
6.2080000,0.6088934,0.3476728,-0.2074664,-0.6821511
6.2280000,0.6282962,0.3455498,-0.2144145,-0.6632237
6.2440000,0.6434903,0.3435204,-0.2197997,-0.6477670
6.2680000,0.6657369,0.3399467,-0.2275628,-0.6240560
6.2880000,0.6837616,0.3365002,-0.2337272,-0.6038289
6.3040000,0.6978331,0.3334489,-0.2384513,-0.5873514
6.3280000,0.7183427,0.3283998,-0.2451769,-0.5621615
6.3480000,0.7348748,0.3237881,-0.2504383,-0.5407410
6.3720000,0.7540101,0.3178817,-0.2563651,-0.5144871
6.3880000,0.7663167,0.3137224,-0.2600803,-0.4966842
6.4080000,0.7811915,0.3082601,-0.2644512,-0.4741109
6.4280000,0.7954960,0.3024946,-0.2685103,-0.4512044
6.4520000,0.8119015,0.2951658,-0.2729484,-0.4233111
6.4720000,0.8249322,0.2887171,-0.2762707,-0.3997547
6.4960000,0.8397883,0.2805695,-0.2797888,-0.3711531
6.5120000,0.8492164,0.2748924,-0.2818410,-0.3518969
6.5360000,0.8626367,0.2660197,-0.2844635,-0.3227567
6.5520000,0.8710962,0.2598796,-0.2859035,-0.3031717
6.5720000,0.8811153,0.2519656,-0.2873533,-0.2785271
6.5920000,0.8905107,0.2437988,-0.2884077,-0.2537198
6.6120000,0.8992753,0.2353967,-0.2890651,-0.2287656
6.6320000,0.9074052,0.2267692,-0.2893166,-0.2036848
6.6560000,0.9163161,0.2161514,-0.2890795,-0.1734257
6.6760000,0.9230275,0.2071044,-0.2884379,-0.1480929
6.6960000,0.9290798,0.1978911,-0.2874002,-0.1226822
6.7200000,0.9354648,0.1866382,-0.2856361,-0.0921078
6.7440000,0.9408581,0.1752324,-0.2833776,-0.0614562
6.7640000,0.9445786,0.1656396,-0.2811552,-0.0358688
6.7880000,0.9481194,0.1540209,-0.2780660,-0.0051470
6.8120000,0.9506541,0.1423006,-0.2745037,0.0255955
6.8320000,0.9519971,0.1324527,-0.2711804,0.0511768
6.8520000,0.9526405,0.1225404,-0.2675375,0.0767044
6.8680000,0.9526550,0.1145641,-0.2643905,0.0970628
6.8920000,0.9518446,0.1025406,-0.2592810,0.1274777
6.9120000,0.9504081,0.0924848,-0.2546659,0.1526965
6.9280000,0.9487614,0.0844246,-0.2507443,0.1727762
6.9480000,0.9460814,0.0743374,-0.2455632,0.1977442
6.9640000,0.9434403,0.0662675,-0.2411991,0.2176049
6.9880000,0.9386473,0.0541814,-0.2343130,0.2471904
7.0080000,0.9338729,0.0441408,-0.2283371,0.2716527
7.0320000,0.9272179,0.0321342,-0.2208773,0.3007449
7.0520000,0.9209110,0.0221689,-0.2144118,0.3247445
7.0680000,0.9153736,0.0142271,-0.2090710,0.3437704
7.0920000,0.9062419,0.0023848,-0.2007732,0.3720351
7.1120000,0.8978912,-0.0074145,-0.1936088,0.3952874
7.1360000,0.8869934,-0.0190806,-0.1847172,0.4227981
7.1520000,0.8792077,-0.0267982,-0.1786084,0.4408795
7.1720000,0.8688966,-0.0363656,-0.1707690,0.4631784
7.1920000,0.8579519,-0.0458349,-0.1626999,0.4851252
7.2080000,0.8487490,-0.0533327,-0.1560745,0.5024157
7.2280000,0.8366929,-0.0626005,-0.1475814,0.5236850
7.2520000,0.8214189,-0.0735506,-0.1370860,0.5486973
7.2680000,0.8107599,-0.0807350,-0.1299095,0.5650431
7.2840000,0.7997209,-0.0878173,-0.1225937,0.5811242
7.3040000,0.7853954,-0.0965130,-0.1132575,0.6008427
7.3200000,0.7735228,-0.1033367,-0.1056422,0.6162985
7.3400000,0.7581748,-0.1116936,-0.0959538,0.6352074
7.3560000,0.7454783,-0.1182362,-0.0880920,0.6500170
7.3760000,0.7291020,-0.1262607,-0.0781779,0.6680993
7.4000000,0.7087226,-0.1356741,-0.0661709,0.6891489
7.4200000,0.6911467,-0.1433262,-0.0560670,0.7061376
7.4360000,0.6767087,-0.1493096,-0.0479128,0.7193583
7.4560000,0.6582119,-0.1566045,-0.0376261,0.7354022
7.4720000,0.6430629,-0.1622872,-0.0293238,0.7478456
7.4960000,0.6197927,-0.1705346,-0.0167501,0.7658292
7.5120000,0.6039158,-0.1758442,-0.0082937,0.7773646
7.5320000,0.5836696,-0.1822597,0.0023457,0.7912684
7.5560000,0.5588007,-0.1896239,0.0151992,0.8071887
7.5720000,0.5418921,-0.1943265,0.0238143,0.8173267
7.5960000,0.5160432,-0.2010593,0.0367867,0.8318181
7.6120000,0.4984943,-0.2053280,0.0454560,0.8409980
7.6320000,0.4762184,-0.2104151,0.0563059,0.8519220
7.6480000,0.4581441,-0.2142837,0.0649899,0.8602109
7.6720000,0.4306075,-0.2197455,0.0780008,0.8718973
7.6920000,0.4072871,-0.2239925,0.0888059,0.8809416
7.7120000,0.3836291,-0.2280211,0.0995341,0.8893414
7.7280000,0.3644785,-0.2310899,0.1080539,0.8955876
7.7440000,0.3451550,-0.2340031,0.1165222,0.9014062
7.7640000,0.3207486,-0.2374177,0.1270359,0.9080832
7.7880000,0.2911156,-0.2411649,0.1395417,0.9152155
7.8040000,0.2711674,-0.2434380,0.1478066,0.9194343
7.8200000,0.2510757,-0.2455226,0.1560059,0.9232236
7.8400000,0.2257712,-0.2478569,0.1661526,0.9273552
7.8600000,0.2002870,-0.2498712,0.1761770,0.9308121
7.8800000,0.1746506,-0.2515546,0.1860684,0.9335931
7.9000000,0.1488579,-0.2529136,0.1958081,0.9357004
7.9200000,0.1229175,-0.2539475,0.2053785,0.9371348
7.9360000,0.1020720,-0.2545449,0.2129018,0.9377958
7.9520000,0.0811576,-0.2549436,0.2202979,0.9380224
7.9760000,0.0496780,-0.2551746,0.2311384,0.9375463
8.0040000,0.0128357,-0.2549417,0.2433794,0.9357385
8.0240000,0.0135374,0.2545128,-0.2518487,-0.9336017
8.0480000,0.0452068,0.2536803,-0.2617032,-0.9301151
8.0640000,0.0663093,0.2529148,-0.2680831,-0.9272371
8.0840000,0.0926630,0.2517027,-0.2758362,-0.9230242
8.1080000,0.1242237,0.2498536,-0.2848004,-0.9170771
8.1240000,0.1452065,0.2483699,-0.2905601,-0.9125800
8.1480000,0.1765798,0.2457646,-0.2988618,-0.9050420
8.1720000,0.2078055,0.2426990,-0.3067423,-0.8965619
8.1920000,0.2336888,0.2397946,-0.3129728,-0.8887835
8.2160000,0.2645685,0.2359048,-0.3200284,-0.8785979
8.2320000,0.2850214,0.2330672,-0.3244716,-0.8712983
8.2480000,0.3053544,0.2300388,-0.3287022,-0.8635946
8.2680000,0.3305895,0.2259874,-0.3336843,-0.8534020
8.2880000,0.3556120,0.2216476,-0.3383150,-0.8425885
8.3040000,0.3754591,0.2179731,-0.3417629,-0.8334965
8.3240000,0.4000354,0.2131431,-0.3457481,-0.8215838
8.3440000,0.4243319,0.2081154,-0.3494078,-0.8090393
8.3680000,0.4530663,0.2018257,-0.3533660,-0.7931771
8.3840000,0.4719604,0.1974639,-0.3557322,-0.7821227
8.4040000,0.4952704,0.1918131,-0.3583704,-0.7677797
8.4240000,0.5182303,0.1859405,-0.3606432,-0.7528612
8.4400000,0.5363295,0.1810797,-0.3621918,-0.7405255
8.4600000,0.5586035,0.1748052,-0.3637825,-0.7246154
8.4840000,0.5847998,0.1669880,-0.3651750,-0.7048201
8.5080000,0.6103905,0.1588706,-0.3659915,-0.6842761
8.5240000,0.6270967,0.1532955,-0.3662082,-0.6701804
8.5400000,0.6435095,0.1475944,-0.3661570,-0.6557748
8.5600000,0.6636020,0.1402929,-0.3657057,-0.6373458
8.5800000,0.6832097,0.1328034,-0.3648154,-0.6184638
8.6080000,0.7098198,0.1220248,-0.3628170,-0.5912948
8.6280000,0.7282112,0.1141403,-0.3608457,-0.5713763
8.6520000,0.7495717,0.1044989,-0.3578682,-0.5469484
8.6720000,0.7667550,0.0963472,-0.3549116,-0.5261575
8.6880000,0.7800805,0.0897670,-0.3522725,-0.5092351
8.7080000,0.7962024,0.0814694,-0.3486165,-0.4877408
8.7240000,0.8086635,0.0747774,-0.3453972,-0.4702897
8.7400000,0.8207334,0.0680469,-0.3419085,-0.4526201
8.7560000,0.8324010,0.0612773,-0.3381445,-0.4347550
8.7760000,0.8464138,0.0527725,-0.3330473,-0.4121628
8.8000000,0.8623850,0.0425299,-0.3263478,-0.3846822
